MONTROZIER;12630
MUROLS;12600
ONET LE CHATEAU;12850
PALMAS D AVEYRON;12340
PAULHE;12520
PIERREFICHE;12130
PRIVEZAC;12350
QUINS;12800
RIGNAC;12390
RULLAC ST CIRQ;12120
ST BEAULIZE;12540
STE EULALIE D OLT;12130
STE EULALIE DE CERNON;12230
ARGENCES EN AUBRAC;12210
ST GEORGES DE LUZENCON;12100
ST HIPPOLYTE;12140
ST IGEST;12260
ST JEAN DELNOUS;12170
ST JUST SUR VIAUR;12170
ST LAURENT DE LEVEZOU;12620
ST PARTHEM;12300
SALLES LA SOURCE;12330
SEBAZAC CONCOURES;12740
SEBRAZAC;12190
TAUSSAC;12600
TAYRAC;12440
VERRIERES;12520
VEYREAU;12720
VIALA DU PAS DE JAUX;12250
VIMENET;12310
AIX EN PROVENCE;13540
ARLES;13129
ARLES;13280
BARBENTANE;13570
BERRE L ETANG;13130
BOUC BEL AIR;13320
CABANNES;13440
CEYRESTE;13600
ENSUES LA REDONNE;13820
EYGUIERES;13430
EYRAGUES;13630
GARDANNE;13120
GEMENOS;13420
GIGNAC LA NERTHE;13180
GRAVESON;13690
GREASQUE;13850
ST PIERRE DE MEZOARGUES;13150
MIMET;13105
PEYNIER;13790
PORT ST LOUIS DU RHONE;13230
LA ROQUE D ANTHERON;13640
ROQUEFORT LA BEDOULE;13830
LE ROVE;13740
ST MARTIN DE CRAU;13310
SAUSSET LES PINS;13960
SIMIANE COLLONGUE;13109
TRETS;13530
TRETS;13530
MARSEILLE 02;13002
MARSEILLE 05;13005
MARSEILLE 09;13009
MARSEILLE 11;13011
MARSEILLE 12;13012
MARSEILLE 13;13013
AIRAN;14370
AMAYE SUR ORNE;14210
ANNEBAULT;14430
LES AUTHIEUX PAPION;14140
AVENAY;14210
BANNEVILLE LA CAMPAGNE;14940
BASLY;14610
BASSENEVILLE;14670
BAYEUX;14400
BEAUMESNIL;14380
BEAUMONT EN AUGE;14950
BELLENGREVILLE;14370
SOULEUVRE EN BOCAGE;14350
SOULEUVRE EN BOCAGE;14350
SOULEUVRE EN BOCAGE;14350
LA BIGNE;14260
BOISSEY;14170
BRANVILLE;14430
LA CAMBE;14230
CAMBES EN PLAINE;14610
CAMBREMER;14340
VILLENEUVE LES MONTREAL;11290
VILLEPINTE;11150
AGUESSAC;12520
BALAGUIER D OLT;12260
BOR ET BAR;12270
BROMMAT;12600
BROQUIES;12480
CALMONT;12450
LA CAPELLE BALAGUIER;12260
